date,close
2023-01-03,381.7532
2023-01-04,376.4336
2023-01-05,380.5137
2023-01-06,385.6527
2023-01-09,375.5076
2023-01-10,368.932
2023-01-11,369.7267
2023-01-12,368.2498
2023-01-13,368.3041
2023-01-16,364.114
2023-01-17,368.7189
2023-01-18,372.8566
2023-01-19,373.3398
2023-01-20,379.3622
2023-01-23,381.9732
2023-01-24,377.595
2023-01-25,379.6739
2023-01-26,374.8043
2023-01-27,379.5393
2023-01-30,379.421
2023-01-31,378.5941
2023-02-01,375.1808
2023-02-02,381.7367
2023-02-03,381.0649
2023-02-06,378.9536
2023-02-07,377.2521
2023-02-08,380.19
2023-02-09,382.2657
2023-02-10,384.6046
2023-02-13,387.0549
2023-02-14,398.8667
2023-02-15,396.7773
2023-02-16,394.1203
2023-02-17,389.8486
2023-02-20,393.3404
2023-02-21,399.6949
2023-02-22,399.216
2023-02-23,394.7447
2023-02-24,390.4083
2023-02-27,394.0941
2023-02-28,398.3259
2023-03-01,401.4881
2023-03-02,397.9535
2023-03-03,399.3877
2023-03-06,400.1862
2023-03-07,401.5535
2023-03-08,406.587
2023-03-09,408.0039
2023-03-10,412.0175
2023-03-13,412.5603
2023-03-14,414.3742
2023-03-15,418.1744
2023-03-16,409.9701
2023-03-17,408.3131
2023-03-20,405.8143
2023-03-21,402.39
2023-03-22,401.011
2023-03-23,409.5615
2023-03-24,404.8302
2023-03-27,410.4553
2023-03-28,401.1458
2023-03-29,399.4401
2023-03-30,400.4943
2023-03-31,403.9148
2023-04-03,408.0709
2023-04-04,412.7392
2023-04-05,410.9054
2023-04-06,408.4362
2023-04-07,413.4788
2023-04-10,412.5408
2023-04-11,405.4656
2023-04-12,399.2989
2023-04-13,394.3931
2023-04-14,397.2708
2023-04-17,398.2071
2023-04-18,402.1888
2023-04-19,399.9664
2023-04-20,400.9986
2023-04-21,404.6441
2023-04-24,403.0662
2023-04-25,405.7801
2023-04-26,402.2276
2023-04-27,400.3611
2023-04-28,398.4
2023-05-01,392.0008
2023-05-02,394.8054
2023-05-03,392.3945
2023-05-04,392.6117
2023-05-05,395.3865
2023-05-08,397.9921
2023-05-09,401.8319
2023-05-10,401.4364
2023-05-11,399.2401
2023-05-12,398.9509
2023-05-15,389.8781
2023-05-16,382.2822
2023-05-17,375.4812
2023-05-18,370.4684
2023-05-19,372.6682
2023-05-22,368.1609
2023-05-23,366.3757
2023-05-24,373.1741
2023-05-25,371.4773
2023-05-26,375.4364
2023-05-29,370.7509
2023-05-30,369.8374
2023-05-31,365.1388
2023-06-01,363.5654
2023-06-02,367.964
2023-06-05,359.3967
2023-06-06,361.7044
2023-06-07,363.0361
2023-06-08,360.196
2023-06-09,353.1836
2023-06-12,353.6712
2023-06-13,351.219
2023-06-14,352.4873
2023-06-15,352.7281
2023-06-16,360.7829
2023-06-19,359.7248
2023-06-20,354.7932
2023-06-21,355.811
2023-06-22,357.0332
2023-06-23,363.9606
2023-06-26,368.3374
2023-06-27,370.3043
2023-06-28,378.0343
2023-06-29,371.9987
2023-06-30,368.8553
2023-07-03,364.2875
2023-07-04,362.4626
2023-07-05,355.7479
2023-07-06,359.0296
2023-07-07,358.0617
2023-07-10,350.9704
2023-07-11,346.1969
2023-07-12,347.8365
2023-07-13,352.0341
2023-07-14,362.0493
2023-07-17,377.1122
2023-07-18,379.4285
2023-07-19,374.403
2023-07-20,363.6404
2023-07-21,365.1308
2023-07-24,361.1775
2023-07-25,359.241
2023-07-26,356.3419
2023-07-27,355.7825
2023-07-28,361.2149
2023-07-31,362.1395
2023-08-01,361.4816
2023-08-02,356.4659
2023-08-03,348.4204
2023-08-04,346.2117
2023-08-07,346.0853
2023-08-08,354.8044
2023-08-09,355.5807
2023-08-10,360.5937
2023-08-11,358.2433
2023-08-14,352.5424
2023-08-15,347.9907
2023-08-16,344.6416
2023-08-17,355.0942
2023-08-18,351.2085
2023-08-21,355.4485
2023-08-22,351.1619
2023-08-23,355.8601
2023-08-24,357.8997
2023-08-25,357.2594
2023-08-28,357.1934
2023-08-29,354.1013
2023-08-30,356.4326
2023-08-31,354.3269
2023-09-01,348.4918
2023-09-04,342.5044
2023-09-05,343.4551
2023-09-06,351.1877
2023-09-07,352.101
2023-09-08,351.6562
2023-09-11,353.1862
2023-09-12,359.7737
2023-09-13,361.0064
2023-09-14,359.0928
2023-09-15,364.7794
2023-09-18,367.0929
2023-09-19,375.1323
2023-09-20,376.2291
2023-09-21,370.0391
2023-09-22,363.227
2023-09-25,371.7747
2023-09-26,380.9072
2023-09-27,380.1052
2023-09-28,378.2358
2023-09-29,386.1213
2023-10-02,380.3872
2023-10-03,375.8424
2023-10-04,379.3525
2023-10-05,377.427
2023-10-06,377.5438
2023-10-09,376.8328
2023-10-10,378.7438
2023-10-11,386.3509
